100100101	90010101	20110410	4123132454456550
100100102	90010102	20110410	1221344356657880
100100103	90010103	20110410	9889677645543220
100100104	90010104	20110410	1221655609907660
100100105	90010105	20110510	1221322334434550
100100106	90010106	20110510	9889877867764550
100100107	90010107	20110610	3443566576678770
100100108	90010108	20110610	1221122132232330
100100109	90010109	20110610	1234432145544550
100100110	90010110	20110610	2345543289000980
100100101	90010111	20110710	2345543282424980
100100102	90010112	20110710	2345543289003440
